identification_ID,electrode_potential
1,electrode_potential1
2,electrode_potential2
3,electrode_potential3
4,electrode_potential4
5,electrode_potential5
6,electrode_potential6
7,electrode_potential7
8,electrode_potential8
9,electrode_potential9
10,electrode_potential10
11,electrode_potential11
12,electrode_potential12
13,electrode_potential13
14,electrode_potential14
15,electrode_potential15
16,electrode_potential16
17,electrode_potential17
18,electrode_potential18
19,electrode_potential19
20,electrode_potential20
21,electrode_potential21
22,electrode_potential22